id,pais,Pts,PJ,PG,PE,PP,GF,GC,Dif,Grupo,agno
177,Nueva Zelanda,0,3,0,0,3,2,12,–10,Grupo 6,1982
178,Polonia,3,2,1,1,0,3,0,3,Grupo A,1982
179,Rusia,3,2,1,1,0,1,0,1,Grupo A,1982
180,Bélgica,0,2,0,0,2,0,4,–4,Grupo A,1982
181,Alemania,3,2,1,1,0,2,1,1,Grupo B,1982
182,Inglaterra,2,2,0,2,0,0,0,0,Grupo B,1982
183,España,1,2,0,1,1,1,2,–1,Grupo B,1982
184,Italia,4,2,2,0,0,5,3,2,Grupo C,1982
185,Brasil,2,2,1,0,1,5,4,1,Grupo C,1982
186,Argentina,0,2,0,0,2,2,5,–3,Grupo C,1982
187,Francia,4,2,2,0,0,5,1,4,Grupo D,1982
188,Austria,1,2,0,1,1,2,3,–1,Grupo D,1982
189,Irlanda del Norte,1,2,0,1,1,3,6,–3,Grupo D,1982
190,Argentina,5,3,2,1,0,6,2,4,Grupo A,1986
191,Italia,4,3,1,2,0,5,4,1,Grupo A,1986
192,Bulgaria,2,3,0,2,1,2,4,–2,Grupo A,1986
193,Corea del Sur,1,3,0,1,2,4,7,–3,Grupo A,1986
194,México,5,3,2,1,0,4,2,2,Grupo B,1986
195,Paraguay,4,3,1,2,0,4,3,1,Grupo B,1986
196,Bélgica,3,3,1,1,1,5,5,0,Grupo B,1986
197,Irak,0,3,0,0,3,1,4,–3,Grupo B,1986
198,Rusia,5,3,2,1,0,9,1,8,Grupo C,1986
199,Francia,5,3,2,1,0,5,1,4,Grupo C,1986
200,Hungría,2,3,1,0,2,2,9,–7,Grupo C,1986
201,Canadá,0,3,0,0,3,0,5,–5,Grupo C,1986
202,Brasil,6,3,3,0,0,5,0,5,Grupo D,1986
203,España,4,3,2,0,1,5,2,3,Grupo D,1986
204,Irlanda del Norte,1,3,0,1,2,2,6,–4,Grupo D,1986
205,Argelia,1,3,0,1,2,1,5,–4,Grupo D,1986
206,Dinamarca,6,3,3,0,0,9,1,8,Grupo E,1986
207,Alemania,3,3,1,1,1,3,4,–1,Grupo E,1986
208,Uruguay,2,3,0,2,1,2,7,–5,Grupo E,1986
209,Escocia,1,3,0,1,2,1,3,–2,Grupo E,1986
210,Marruecos,4,3,1,2,0,3,1,2,Grupo F,1986
211,Inglaterra,3,3,1,1,1,3,1,2,Grupo F,1986
212,Polonia,3,3,1,1,1,1,3,–2,Grupo F,1986
213,Portugal,2,3,1,0,2,2,4,–2,Grupo F,1986
214,Italia,6,3,3,0,0,4,0,4,Grupo A,1990
215,Checoslovaquia,4,3,2,0,1,6,3,3,Grupo A,1990
216,Austria,2,3,1,0,2,2,3,–1,Grupo A,1990
217,Estados Unidos,0,3,0,0,3,2,8,–6,Grupo A,1990
218,Camerún,4,3,2,0,1,3,5,–2,Grupo B,1990
219,Rumania,3,3,1,1,1,4,3,1,Grupo B,1990
