Unnamed: 0,Pts.,PJ,PG,PE,PP,GF,GC,Dif.,Grupo,year
Perú,0,3,0,0,3,0,10,–10,Grupo B,1978
México,0,3,0,0,3,2,12,–10,Grupo 2,1978
Perú,5,3,2,1,0,7,2,5,Grupo 4,1978
Alemania Federal,4,3,1,2,0,6,1,6,Grupo 2,1978
España,3,3,1,1,1,2,2,0,Grupo 3,1978
Polonia,2,3,1,0,2,2,5,–3,Grupo B,1978
Alemania Federal,2,3,0,2,1,4,5,–1,Grupo A,1978
Hungría,0,3,0,0,3,3,8,–5,Grupo 1,1978
Francia,2,3,1,0,2,5,5,0,Grupo 1,1978
Argentina,4,3,2,0,1,4,3,1,Grupo 1,1978
Escocia,3,3,1,1,1,5,6,–1,Grupo 4,1978
Brasil,4,3,1,2,0,2,1,1,Grupo 3,1978
Países Bajos,5,3,2,1,0,9,4,5,Grupo A,1978
Suecia,1,3,0,1,2,1,3,–2,Grupo 3,1978
Irán,1,3,0,1,2,2,8,–6,Grupo 4,1978
Túnez,3,3,1,1,1,3,2,1,Grupo 2,1978
Italia,6,3,3,0,0,6,2,4,Grupo 1,1978
Italia,3,3,1,1,1,2,2,0,Grupo A,1978
Polonia,5,3,2,1,0,4,1,3,Grupo 2,1978
Argentina,5,3,2,1,0,8,0,8,Grupo B,1978
Brasil,5,3,2,1,0,6,1,5,Grupo B,1978
Austria,2,3,1,0,2,4,8,–4,Grupo A,1978
Austria,4,3,2,0,1,3,2,1,Grupo 3,1978
Países Bajos,3,3,1,1,1,5,3,2,Grupo 4,1978
España,1,2,0,1,1,1,2,–1,Grupo B,1982
Irlanda del Norte,1,2,0,1,1,3,6,–3,Grupo D,1982
Escocia,3,3,1,1,1,8,8,0,Grupo 6,1982
Alemania Federal,4,3,2,0,1,6,3,3,Grupo 2,1982
Brasil,6,3,3,0,0,10,2,8,Grupo 6,1982
Kuwait,1,3,0,1,2,2,6,–4,Grupo 4,1982
Italia,4,2,2,0,0,5,3,2,Grupo C,1982
Argelia,4,3,2,0,1,5,5,0,Grupo 2,1982
Yugoslavia,3,3,1,1,1,2,2,0,Grupo 5,1982
Austria,4,3,2,0,1,3,1,2,Grupo 2,1982
Polonia,3,2,1,1,0,3,0,3,Grupo A,1982
Inglaterra,6,3,3,0,0,6,1,5,Grupo 4,1982
Inglaterra,2,2,0,2,0,0,0,0,Grupo B,1982
Nueva Zelanda,0,3,0,0,3,2,12,–10,Grupo 6,1982
Polonia,4,3,1,2,0,5,1,4,Grupo 1,1982
Brasil,2,2,1,0,1,5,4,1,Grupo C,1982
Checoslovaquia,2,3,0,2,1,2,4,–2,Grupo 4,1982
Alemania Federal,3,2,1,1,0,2,1,1,Grupo B,1982
Hungría,3,3,1,1,1,12,6,6,Grupo 3,1982
Irlanda del Norte,4,3,1,2,0,2,1,1,Grupo 5,1982
Argentina,4,3,2,0,1,6,2,4,Grupo 3,1982
Italia,3,3,0,3,0,2,2,0,Grupo 1,1982
Perú,2,3,0,2,1,2,6,–4,Grupo 1,1982
Camerún,3,3,0,3,0,1,1,0,Grupo 1,1982
El Salvador,0,3,0,0,3,1,13,–12,Grupo 3,1982
Francia,3,3,1,1,1,6,5,1,Grupo 4,1982
Austria,1,2,0,1,1,2,3,–1,Grupo D,1982
Francia,4,2,2,0,0,5,1,4,Grupo D,1982
España,3,3,1,1,1,3,3,0,Grupo 5,1982
Argentina,0,2,0,0,2,2,5,–3,Grupo C,1982
Chile,0,3,0,0,3,3,8,–5,Grupo 2,1982
Bélgica,0,2,0,0,2,0,4,–4,Grupo A,1982
Bélgica,5,3,2,1,0,3,1,2,Grupo 3,1982
Unión Soviética,3,2,1,1,0,1,0,1,Grupo A,1982
Unión Soviética,3,3,1,1,1,6,4,2,Grupo 6,1982
Honduras,2,3,0,2,1,2,3,–1,Grupo 5,1982
Irlanda del Norte,1,3,0,1,2,2,6,–4,Grupo D,1986
Argelia,1,3,0,1,2,1,5,–4,Grupo D,1986
Uruguay,2,3,0,2,1,2,7,–5,Grupo E,1986
Inglaterra,3,3,1,1,1,3,1,2,Grupo F,1986
Italia,4,3,1,2,0,5,4,1,Grupo A,1986
Unión Soviética,5,3,2,1,0,9,1,8,Grupo C,1986
Polonia,3,3,1,1,1,1,3,–2,Grupo F,1986
Bulgaria,2,3,0,2,1,2,4,–2,Grupo A,1986
España,4,3,2,0,1,5,2,3,Grupo D,1986
Hungría,2,3,1,0,2,2,9,–7,Grupo C,1986
Paraguay,4,3,1,2,0,4,3,1,Grupo B,1986
Portugal,2,3,1,0,2,2,4,–2,Grupo F,1986
Bélgica,3,3,1,1,1,5,5,0,Grupo B,1986
Dinamarca,6,3,3,0,0,9,1,8,Grupo E,1986
Corea del Sur,1,3,0,1,2,4,7,–3,Grupo A,1986
Marruecos,4,3,1,2,0,3,1,2,Grupo F,1986
Argentina,5,3,2,1,0,6,2,4,Grupo A,1986
Irak,0,3,0,0,3,1,4,–3,Grupo B,1986
Canadá,0,3,0,0,3,0,5,–5,Grupo C,1986
Alemania Federal,3,3,1,1,1,3,4,–1,Grupo E,1986
México,5,3,2,1,0,4,2,2,Grupo B,1986
Escocia,1,3,0,1,2,1,3,–2,Grupo E,1986
Francia,5,3,2,1,0,5,1,4,Grupo C,1986
Brasil,6,3,3,0,0,5,0,5,Grupo D,1986
Suecia,0,3,0,0,3,3,6,–3,Grupo C,1990
Costa Rica,4,3,2,0,1,3,2,1,Grupo C,1990
Estados Unidos,0,3,0,0,3,2,8,–6,Grupo A,1990
Bélgica,4,3,2,0,1,6,3,3,Grupo E,1990
Egipto,2,3,0,2,1,1,2,–1,Grupo F,1990
Checoslovaquia,4,3,2,0,1,6,3,3,Grupo A,1990
Escocia,2,3,1,0,2,2,3,–1,Grupo C,1990
Alemania Federal,5,3,2,1,0,10,3,7,Grupo D,1990
Camerún,4,3,2,0,1,3,5,–2,Grupo B,1990
Yugoslavia,4,3,2,0,1,6,5,1,Grupo D,1990
España,5,3,2,1,0,5,2,3,Grupo E,1990
Países Bajos,3,3,0,3,0,2,2,0,Grupo F,1990
Colombia,3,3,1,1,1,3,2,1,Grupo D,1990
Austria,2,3,1,0,2,2,3,–1,Grupo A,1990
Italia,6,3,3,0,0,4,0,4,Grupo A,1990
