year,date,home_team,away_team,home_team_score,away_team_score,shoot_out,home_team_result,away_team_result,home_team_fifa_rank,away_team_fifa_rank,home_team_total_fifa_points,away_team_total_fifa_points,home_team_avg_fifa_points,away_team_avg_fifa_points,home_team_goalkeeper_score,away_team_goalkeeper_score,home_team_mean_defense_score,home_team_mean_offense_score,home_team_mean_midfield_score,away_team_mean_defense_score,away_team_mean_offense_score,away_team_mean_midfield_score
1998,1998-06-30 00:00:00,Argentina,Inglaterra,2,2,Yes,Win,Lose,6.0,5.0,0.0,0.0,0.0,0.0,,,,,,,,
1998,1998-07-03 00:00:00,Italia,Francia,0,0,Yes,Lose,Win,14.0,18.0,0.0,0.0,0.0,0.0,,,,,,,,
1998,1998-07-03 00:00:00,Brasil,Dinamarca,3,2,No,Win,Lose,1.0,27.0,0.0,0.0,0.0,0.0,,,,,,,,
1998,1998-07-04 00:00:00,Países Bajos,Argentina,2,1,No,Win,Lose,25.0,6.0,0.0,0.0,0.0,0.0,,,,,,,,
1998,1998-07-04 00:00:00,Alemania,Croacia,0,3,No,Lose,Win,2.0,19.0,0.0,0.0,0.0,0.0,,,,,,,,
1998,1998-07-07 00:00:00,Brasil,Países Bajos,1,1,Yes,Win,Lose,1.0,25.0,0.0,0.0,0.0,0.0,,,,,,,,
1998,1998-07-08 00:00:00,Francia,Croacia,2,1,No,Win,Lose,18.0,19.0,0.0,0.0,0.0,0.0,,,,,,,,
1998,1998-07-11 00:00:00,Países Bajos,Croacia,1,2,No,Lose,Win,25.0,19.0,0.0,0.0,0.0,0.0,,,,,,,,
1998,1998-07-12 00:00:00,Brasil,Francia,0,3,No,Lose,Win,1.0,18.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-05-31 00:00:00,Francia,Senegal,0,1,No,Lose,Win,1.0,42.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-01 00:00:00,Uruguay,Dinamarca,1,2,No,Lose,Win,24.0,20.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-06 00:00:00,Dinamarca,Senegal,1,1,No,Draw,Draw,20.0,42.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-06 00:00:00,Francia,Uruguay,0,0,No,Draw,Draw,1.0,24.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-11 00:00:00,Dinamarca,Francia,2,0,No,Win,Lose,20.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-11 00:00:00,Senegal,Uruguay,3,3,No,Draw,Draw,42.0,24.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-02 00:00:00,Paraguay,Sudáfrica,2,2,No,Draw,Draw,18.0,37.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-02 00:00:00,España,Eslovenia,3,1,No,Win,Lose,8.0,25.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-07 00:00:00,España,Paraguay,3,1,No,Win,Lose,8.0,18.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-08 00:00:00,Sudáfrica,Eslovenia,1,0,No,Win,Lose,37.0,25.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-12 00:00:00,Sudáfrica,España,2,3,No,Lose,Win,37.0,8.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-12 00:00:00,Eslovenia,Paraguay,1,3,No,Lose,Win,25.0,18.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-03 00:00:00,Brasil,Turquía,2,1,No,Win,Lose,2.0,22.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-04 00:00:00,China,Costa Rica,0,2,No,Lose,Win,50.0,29.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-08 00:00:00,Brasil,China,4,0,No,Win,Lose,2.0,50.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-09 00:00:00,Costa Rica,Turquía,1,1,No,Draw,Draw,29.0,22.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-13 00:00:00,Costa Rica,Brasil,2,5,No,Lose,Win,29.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-13 00:00:00,Turquía,China,3,0,No,Win,Lose,22.0,50.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-04 00:00:00,Corea del Sur,Polonia,2,0,No,Win,Lose,40.0,38.0,0.0,0.0,0.0,0.0,,,,,,,,
