id,home,score,away,agno
247,Runners-up Grupo 3,Match 36,Winner Grupo 2,1974
248,Runners-up Grupo A,Match 37,Runners-up Grupo B,1974
249,Winner Grupo A,Match 38,Winner Grupo B,1974
250,Italia,2:1,Francia,1978
251,Argentina,2:1,Hungría,1978
252,Italia,3:1,Hungría,1978
253,Argentina,2:1,Francia,1978
254,Francia,3:1,Hungría,1978
255,Italia,1:0,Argentina,1978
256,Alemania,0:0,Polonia,1978
257,Túnez,3:1,México,1978
258,Alemania,6:0,México,1978
259,Polonia,1:0,Túnez,1978
260,Alemania,0:0,Túnez,1978
261,Polonia,3:1,México,1978
262,Austria,2:1,España,1978
263,Suecia,1:1,Brasil,1978
264,Austria,1:0,Suecia,1978
265,Brasil,0:0,España,1978
266,España,1:0,Suecia,1978
267,Brasil,1:0,Austria,1978
268,Perú,3:1,Escocia,1978
269,Países Bajos,3:0,Irán,1978
270,Escocia,1:1,Irán,1978
271,Países Bajos,0:0,Perú,1978
272,Perú,4:1,Irán,1978
273,Escocia,3:2,Países Bajos,1978
274,Runners-up Grupo 4,Match 25,Winner Grupo 3,1978
275,Runners-up Grupo 2,Match 26,Winner Grupo 1,1978
276,Runners-up Grupo 2,Match 27,Runners-up Grupo 4,1978
277,Winner Grupo 1,Match 28,Winner Grupo 3,1978
278,Winner Grupo 3,Match 29,Runners-up Grupo 2,1978
279,Runners-up Grupo 4,Match 30,Winner Grupo 1,1978
280,Runners-up Grupo 3,Match 31,Winner Grupo 4,1978
281,Runners-up Grupo 1,Match 32,Winner Grupo 2,1978
282,Winner Grupo 2,Match 33,Winner Grupo 4,1978
283,Runners-up Grupo 1,Match 34,Runners-up Grupo 3,1978
284,Runners-up Grupo 3,Match 35,Winner Grupo 2,1978
285,Runners-up Grupo 1,Match 36,Winner Grupo 4,1978
286,Runners-up Grupo B,Match 37,Runners-up Grupo A,1978
287,Winner Grupo B,Match 38,Winner Grupo A,1978
288,Italia,0:0,Polonia,1982
289,Perú,0:0,Camerún,1982
290,Italia,1:1,Perú,1982
291,Polonia,0:0,Camerún,1982
292,Polonia,5:1,Perú,1982
293,Italia,1:1,Camerún,1982
294,Alemania,1:2,Argelia,1982
295,Chile,0:1,Austria,1982
296,Alemania,4:1,Chile,1982
297,Argelia,0:2,Austria,1982
298,Argelia,3:2,Chile,1982
299,Alemania,1:0,Austria,1982
300,Argentina,0:1,Bélgica,1982
301,Hungría,10:1,El Salvador,1982
302,Argentina,4:1,Hungría,1982
303,Bélgica,1:0,El Salvador,1982
304,Bélgica,1:1,Hungría,1982
305,Argentina,2:0,El Salvador,1982
306,Inglaterra,3:1,Francia,1982
307,Checoslovaquia,1:1,Kuwait,1982
308,Inglaterra,2:0,Checoslovaquia,1982
309,Francia,4:1,Kuwait,1982
310,Francia,1:1,Checoslovaquia,1982
311,Inglaterra,1:0,Kuwait,1982
312,España,1:1,Honduras,1982
313,Yugoslavia,0:0,Irlanda del Norte,1982
314,España,2:1,Yugoslavia,1982
315,Honduras,1:1,Irlanda del Norte,1982
316,Honduras,0:1,Yugoslavia,1982
317,Irlanda del Norte,1:0,España,1982
318,Brasil,2:1,Rusia,1982
319,Escocia,5:2,Nueva Zelanda,1982
320,Brasil,4:1,Escocia,1982
321,Rusia,3:0,Nueva Zelanda,1982
322,Rusia,2:2,Escocia,1982
323,Brasil,4:0,Nueva Zelanda,1982
324,Winner Grupo 1,Match 37,Winner Grupo 3,1982
325,Winner Grupo 3,Match 38,Runners-up Grupo 6,1982
326,Winner Grupo 1,Match 39,Runners-up Grupo 6,1982
327,Winner Grupo 2,Match 40,Winner Grupo 4,1982
328,Winner Grupo 2,Match 41,Runners-up Grupo 5,1982
329,Runners-up Grupo 5,Match 42,Winner Grupo 4,1982
330,Runners-up Grupo 1,Match 43,Runners-up Grupo 3,1982
331,Runners-up Grupo 3,Match 44,Winner Grupo 6,1982
332,Runners-up Grupo 1,Match 45,Winner Grupo 6,1982
333,Runners-up Grupo 2,Match 46,Runners-up Grupo 4,1982
334,Runners-up Grupo 2,Match 47,Winner Grupo 5,1982
335,Runners-up Grupo 4,Match 48,Winner Grupo 5,1982
336,Winner Grupo A,Match 49,Winner Grupo C,1982
337,Winner Grupo B,Match 50,Winner Grupo D,1982
338,Loser Match 49,Match 51,Loser Match 50,1982
339,Winner Match 49,Match 52,Winner Match 50,1982
340,Bulgaria,1:1,Italia,1986
341,Argentina,3:1,Corea del Sur,1986
342,Italia,1:1,Argentina,1986
343,Corea del Sur,1:1,Bulgaria,1986
344,Corea del Sur,2:3,Italia,1986
345,Argentina,2:0,Bulgaria,1986
346,Bélgica,1:2,México,1986
347,Paraguay,1:0,Irak,1986
348,México,1:1,Paraguay,1986
349,Irak,1:2,Bélgica,1986
350,Paraguay,2:2,Bélgica,1986
351,Irak,0:1,México,1986
352,Canadá,0:1,Francia,1986
353,Rusia,6:0,Hungría,1986
354,Francia,1:1,Rusia,1986
355,Hungría,2:0,Canadá,1986
356,Hungría,0:3,Francia,1986
357,Rusia,2:0,Canadá,1986
358,España,0:1,Brasil,1986
359,Argelia,1:1,Irlanda del Norte,1986
360,Brasil,1:0,Argelia,1986
361,Irlanda del Norte,1:2,España,1986
362,Irlanda del Norte,0:3,Brasil,1986
363,Argelia,0:3,España,1986
364,Uruguay,1:1,Alemania,1986
365,Escocia,0:1,Dinamarca,1986
366,Alemania,2:1,Escocia,1986
367,Dinamarca,6:1,Uruguay,1986
368,Dinamarca,2:0,Alemania,1986
369,Escocia,0:0,Uruguay,1986
370,Marruecos,0:0,Polonia,1986
371,Portugal,1:0,Inglaterra,1986
372,Inglaterra,0:0,Marruecos,1986
373,Polonia,1:0,Portugal,1986
374,Inglaterra,3:0,Polonia,1986
375,Portugal,1:3,Marruecos,1986
376,Winner Grupo B,Match 37,Third-p Grupo A,1986
377,Winner Grupo C,Match 38,Third-p Grupo B,1986
378,Winner Grupo D,Match 39,Third-p Grupo F,1986
379,Winner Grupo A,Match 40,Third-p Grupo E,1986
380,Runners-up Grupo A,Match 41,Runners-up Grupo C,1986
381,Winner Grupo F,Match 42,Runners-up Grupo E,1986
382,Runners-up Grupo F,Match 43,Runners-up Grupo B,1986
383,Winner Grupo E,Match 44,Runners-up Grupo D,1986
384,Winner Match 39,Match 45,Winner Match 41,1986
385,Winner Match 42,Match 46,Winner Match 37,1986
386,Winner Match 40,Match 47,Winner Match 43,1986
387,Winner Match 44,Match 48,Winner Match 38,1986
388,Winner Match 45,Match 49,Winner Match 46,1986
389,Winner Match 47,Match 50,Winner Match 48,1986
390,Loser Match 49,Match 51,Loser Match 50,1986
391,Winner Match 50,Match 52,Winner Match 49,1986
392,Italia,1:0,Austria,1990
393,Estados Unidos,1:5,Checoslovaquia,1990
394,Italia,1:0,Estados Unidos,1990
395,Austria,0:1,Checoslovaquia,1990
396,Italia,2:0,Checoslovaquia,1990
397,Austria,2:1,Estados Unidos,1990
398,Argentina,0:1,Camerún,1990
399,Rusia,0:2,Rumania,1990
400,Argentina,2:0,Rusia,1990
401,Camerún,2:1,Rumania,1990
402,Argentina,1:1,Rumania,1990
403,Camerún,0:4,Rusia,1990
404,Brasil,2:1,Suecia,1990
405,Costa Rica,1:0,Escocia,1990
406,Brasil,1:0,Costa Rica,1990
407,Suecia,1:2,Escocia,1990
408,Suecia,1:2,Costa Rica,1990
409,Brasil,1:0,Escocia,1990
410,Emiratos Árabes Unidos,0:2,Colombia,1990
411,Alemania,4:1,Yugoslavia,1990
412,Yugoslavia,1:0,Colombia,1990
413,Alemania,5:1,Emiratos Árabes Unidos,1990
414,Alemania,1:1,Colombia,1990
415,Yugoslavia,4:1,Emiratos Árabes Unidos,1990
416,Bélgica,2:0,Corea del Sur,1990
417,Uruguay,0:0,España,1990
418,Corea del Sur,1:3,España,1990
419,Bélgica,3:1,Uruguay,1990
420,Corea del Sur,0:1,Uruguay,1990
421,Bélgica,1:2,España,1990
422,Inglaterra,1:1,Irlanda,1990
423,Países Bajos,1:1,Egipto,1990
424,Inglaterra,0:0,Países Bajos,1990
425,Irlanda,0:0,Egipto,1990
426,Inglaterra,1:0,Egipto,1990
427,Irlanda,1:1,Países Bajos,1990
428,Winner Grupo B,Match 37,Third-p Grupo D,1990
429,Runners-up Grupo A,Match 38,Runners-up Grupo C,1990
430,Winner Grupo C,Match 39,Third-p Grupo B,1990
431,Winner Grupo D,Match 40,Third-p Grupo F,1990
432,Runners-up Grupo F,Match 41,Runners-up Grupo B,1990
433,Winner Grupo A,Match 42,Third-p Grupo E,1990
434,Winner Grupo E,Match 43,Runners-up Grupo D,1990
435,Winner Grupo F,Match 44,Runners-up Grupo E,1990
436,Winner Match 43,Match 45,Winner Match 39,1990
437,Winner Match 42,Match 46,Winner Match 41,1990
438,Winner Match 40,Match 47,Winner Match 38,1990
439,Winner Match 44,Match 48,Winner Match 37,1990
440,Winner Match 46,Match 49,Winner Match 45,1990
441,Winner Match 47,Match 50,Winner Match 48,1990
442,Loser Match 49,Match 51,Loser Match 50,1990
443,Winner Match 50,Match 52,Winner Match 49,1990
444,Estados Unidos,1:1,Suiza,1994
445,Colombia,1:3,Rumania,1994
446,Rumania,1:4,Suiza,1994
447,Estados Unidos,2:1,Colombia,1994
448,Estados Unidos,0:1,Rumania,1994
449,Suiza,0:2,Colombia,1994
450,Camerún,2:2,Suecia,1994
451,Brasil,2:0,Rusia,1994
452,Brasil,3:0,Camerún,1994
453,Suecia,3:1,Rusia,1994
454,Rusia,6:1,Camerún,1994
455,Brasil,1:1,Suecia,1994
456,Alemania,1:0,Bolivia,1994
457,España,2:2,Corea del Sur,1994
458,Alemania,1:1,España,1994
459,Corea del Sur,0:0,Bolivia,1994
460,Bolivia,1:3,España,1994
461,Alemania,3:2,Corea del Sur,1994
462,Argentina,4:0,Grecia,1994
463,Nigeria,3:0,Bulgaria,1994
464,Argentina,2:1,Nigeria,1994
465,Bulgaria,4:0,Grecia,1994
466,Grecia,0:2,Nigeria,1994
467,Argentina,0:2,Bulgaria,1994
468,Italia,0:1,Irlanda,1994
469,Noruega,1:0,México,1994
470,Italia,1:0,Noruega,1994
471,México,2:1,Irlanda,1994
472,Irlanda,0:0,Noruega,1994
473,Italia,1:1,México,1994
474,Bélgica,1:0,Marruecos,1994
475,Países Bajos,2:1,Arabia Saudita,1994
476,Bélgica,1:0,Países Bajos,1994
477,Arabia Saudita,2:1,Marruecos,1994
478,Marruecos,1:2,Países Bajos,1994
479,Bélgica,0:1,Arabia Saudita,1994
480,Winner Grupo C,Match 37,Third-p Grupo F,1994
481,Runners-up Grupo C,Match 38,Runners-up Grupo A,1994
482,Runners-up Grupo F,Match 39,Runners-up Grupo B,1994
483,Winner Grupo A,Match 40,Third-p Grupo D,1994
484,Winner Grupo F,Match 41,Runners-up Grupo E,1994
485,Winner Grupo B,Match 42,Third-p Grupo A,1994
486,Winner Grupo D,Match 43,Third-p Grupo E,1994
487,Winner Grupo E,Match 44,Runners-up Grupo D,1994
