Unnamed: 0,home,score,away,year
20,Perú,3:0,Marruecos,1970
6,Uruguay,2:0,Israel,1970
3,México,4:0,El Salvador,1970
23,Bulgaria,1:1,Marruecos,1970
26,Alemania Democrática,0:2,Países Bajos,1974
13,Uruguay,0:2,Países Bajos,1974
20,Argentina,1:1,Italia,1974
32,Polonia,2:1,Yugoslavia,1974
18,Italia,3:1,Haití,1974
7,Zaire,0:2,Escocia,1974
0,Alemania Federal,1:0,Chile,1974
4,Australia,0:0,Chile,1974
24,Países Bajos,4:0,Argentina,1974
33,Alemania Federal,4:2,Suecia,1974
25,Brasil,1:0,Alemania Democrática,1974
14,Países Bajos,0:0,Suecia,1974
16,Bulgaria,1:4,Países Bajos,1974
11,Zaire,0:3,Brasil,1974
9,Yugoslavia,9:0,Zaire,1974
1,Alemania Democrática,2:0,Australia,1974
5,Alemania Democrática,1:0,Alemania Federal,1974
17,Suecia,3:0,Uruguay,1974
21,Haití,0:7,Polonia,1974
8,Escocia,0:0,Brasil,1974
29,Argentina,1:1,Alemania Democrática,1974
35,Suecia,2:1,Yugoslavia,1974
36,Brasil,0:1,Polonia,1974
30,Yugoslavia,0:2,Alemania Federal,1974
19,Polonia,3:2,Argentina,1974
34,Polonia,0:1,Alemania Federal,1974
37,Países Bajos,1:2,Alemania Federal,1974
6,Brasil,0:0,Yugoslavia,1974
3,Chile,1:1,Alemania Democrática,1974
2,Australia,0:3,Alemania Federal,1974
10,Escocia,1:1,Yugoslavia,1974
28,Países Bajos,2:0,Brasil,1974
22,Polonia,2:1,Italia,1974
31,Suecia,0:1,Polonia,1974
15,Bulgaria,1:1,Uruguay,1974
12,Suecia,0:0,Bulgaria,1974
23,Argentina,4:1,Haití,1974
27,Argentina,1:2,Brasil,1974
36,Brasil,2:1,Italia,1978
15,Brasil,0:0,España,1978
32,Polonia,1:0,Perú,1978
9,Polonia,1:0,Túnez,1978
6,Alemania Federal,0:0,Polonia,1978
33,Argentina,0:0,Brasil,1978
27,Italia,1:0,Austria,1978
17,Brasil,1:0,Austria,1978
31,Argentina,2:0,Polonia,1978
5,Italia,1:0,Argentina,1978
7,Túnez,3:1,México,1978
0,Italia,2:1,Francia,1978
8,Alemania Federal,6:0,México,1978
20,Escocia,1:1,Irán,1978
11,Polonia,3:1,México,1978
22,Perú,4:1,Irán,1978
10,Alemania Federal,0:0,Túnez,1978
3,Argentina,2:1,Francia,1978
24,Países Bajos,5:1,Austria,1978
18,Perú,3:1,Escocia,1978
14,Austria,1:0,Suecia,1978
25,Alemania Federal,0:0,Italia,1978
30,Brasil,3:0,Perú,1978
4,Francia,3:1,Hungría,1978
2,Italia,3:1,Hungría,1978
21,Países Bajos,0:0,Perú,1978
19,Países Bajos,3:0,Irán,1978
28,Austria,3:2,Alemania Federal,1978
12,Austria,2:1,España,1978
34,Brasil,3:1,Polonia,1978
29,Países Bajos,2:1,Italia,1978
37,Argentina,3:1,Países Bajos,1978
1,Argentina,2:1,Hungría,1978
16,España,1:0,Suecia,1978
13,Suecia,1:1,Brasil,1978
26,Alemania Federal,2:2,Países Bajos,1978
35,Argentina,6:0,Perú,1978
23,Escocia,3:2,Países Bajos,1978
40,Alemania Federal,2:1,España,1982
32,Brasil,4:1,Escocia,1982
20,Inglaterra,2:0,Checoslovaquia,1982
3,Polonia,0:0,Camerún,1982
47,Francia,4:1,Irlanda del Norte,1982
39,Alemania Federal,0:0,Inglaterra,1982
48,Polonia,0:2,Italia,1982
16,Bélgica,1:1,Hungría,1982
4,Polonia,5:1,Perú,1982
36,Polonia,3:0,Bélgica,1982
44,Italia,3:2,Brasil,1982
31,Escocia,5:2,Nueva Zelanda,1982
34,Unión Soviética,2:2,Escocia,1982
7,Chile,0:1,Austria,1982
21,Francia,4:1,Kuwait,1982
30,Brasil,2:1,Unión Soviética,1982
51,Italia,3:1,Alemania Federal,1982
19,Checoslovaquia,1:1,Kuwait,1982
25,Yugoslavia,0:0,Irlanda del Norte,1982
6,Alemania Federal,1:2,Argelia,1982
35,Brasil,4:0,Nueva Zelanda,1982
33,Unión Soviética,3:0,Nueva Zelanda,1982
2,Italia,1:1,Perú,1982
38,Polonia,0:0,Unión Soviética,1982
42,Italia,2:1,Argentina,1982
12,Argentina,0:1,Bélgica,1982
8,Alemania Federal,4:1,Chile,1982
43,Argentina,1:3,Brasil,1982
46,Austria,2:2,Irlanda del Norte,1982
45,Austria,0:1,Francia,1982
13,Hungría,10:1,El Salvador,1982
11,Alemania Federal,1:0,Austria,1982
37,Bélgica,0:1,Unión Soviética,1982
41,España,0:0,Inglaterra,1982
26,España,2:1,Yugoslavia,1982
0,Italia,0:0,Polonia,1982
17,Argentina,2:0,El Salvador,1982
5,Italia,1:1,Camerún,1982
14,Argentina,4:1,Hungría,1982
15,Bélgica,1:0,El Salvador,1982
24,España,1:1,Honduras,1982
27,Honduras,1:1,Irlanda del Norte,1982
28,Honduras,0:1,Yugoslavia,1982
9,Argelia,0:2,Austria,1982
29,Irlanda del Norte,1:0,España,1982
49,Alemania Federal,5:4,Francia,1982
1,Perú,0:0,Camerún,1982
10,Argelia,3:2,Chile,1982
50,Polonia,3:2,Francia,1982
22,Francia,1:1,Checoslovaquia,1982
23,Inglaterra,1:0,Kuwait,1982
18,Inglaterra,3:1,Francia,1982
32,Inglaterra,0:0,Marruecos,1986
17,Unión Soviética,2:0,Canadá,1986
34,Inglaterra,3:0,Polonia,1986
30,Marruecos,0:0,Polonia,1986
25,Escocia,0:1,Dinamarca,1986
42,Inglaterra,3:0,Paraguay,1986
48,Francia,0:2,Alemania Federal,1986
0,Bulgaria,1:1,Italia,1986
40,Italia,0:2,Francia,1986
9,Irak,1:2,Bélgica,1986
15,Hungría,2:0,Canadá,1986
20,Brasil,1:0,Argelia,1986
47,España,4:5,Bélgica,1986
38,Brasil,4:0,Polonia,1986
13,Unión Soviética,6:0,Hungría,1986
43,Dinamarca,1:5,España,1986
5,Argentina,2:0,Bulgaria,1986
29,Escocia,0:0,Uruguay,1986
45,Alemania Federal,4:1,México,1986
33,Polonia,1:0,Portugal,1986
8,México,1:1,Paraguay,1986
28,Dinamarca,2:0,Alemania Federal,1986
21,Irlanda del Norte,1:2,España,1986
7,Paraguay,1:0,Irak,1986
39,Argentina,1:0,Uruguay,1986
44,Brasil,3:4,Francia,1986
19,Argelia,1:1,Irlanda del Norte,1986
